Customer_ID,Age,Monthly_Income,Credit_Score,Loan_Amount,Previous_Loans,Loan_Approved
1001,28,28278,690,178393,1,No
1002,29,38434,829,95580,4,No
1003,48,29165,565,99123,1,No
1004,35,91237,563,344254,1,No
1005,55,79987,662,285514,4,No
1006,38,25851,631,416026,3,No
1007,42,61421,629,162886,2,No
1008,27,37156,744,100707,2,No
1009,43,104131,685,473167,0,Yes
1010,50,95284,613,248461,0,No
1011,56,63427,735,352698,1,Yes
1012,25,31006,666,455310,2,No
1013,26,55512,601,249295,2,No
1014,50,108320,736,135277,2,Yes
1015,43,52460,686,417955,5,Yes
1016,25,104840,637,330043,5,No
1017,36,46417,786,248943,2,Yes
1018,56,53785,716,491897,0,Yes
1019,35,29207,711,260325,2,No
1020,25,52653,840,426393,2,Yes
1021,34,110909,805,257425,5,Yes
1022,50,43726,685,123206,1,Yes
1023,56,95644,684,441650,4,Yes
1024,48,101484,754,239790,1,Yes
1025,29,91784,802,97662,0,Yes
1026,28,45033,631,465277,5,No
1027,48,103172,582,251728,3,No
1028,59,86348,820,181813,4,Yes
1029,21,114166,608,407412,4,No
1030,38,109012,724,108485,2,Yes
1031,48,45730,782,51701,5,Yes
1032,37,90612,641,316171,0,No
1033,40,108748,809,369275,1,Yes
1034,30,74009,632,332789,4,No
1035,21,103504,715,306170,0,Yes
1036,28,72576,707,175541,0,Yes
1037,36,99364,590,94907,5,No
1038,52,34071,822,451517,1,No
1039,29,111474,793,338255,1,Yes
1040,37,94163,766,161043,4,Yes
1041,33,118447,709,259186,5,Yes
1042,44,82422,814,286708,0,Yes
1043,36,54451,582,227254,0,No
1044,58,97603,667,358512,1,No
1045,21,34305,580,170031,0,No
1046,23,68309,586,319565,1,No
1047,38,112684,798,162321,4,Yes
1048,29,119811,842,352100,3,Yes
1049,36,86993,758,149829,0,Yes
1050,27,111374,770,235753,3,Yes
1051,47,86213,577,403036,5,No
1052,27,32944,756,431793,2,No
1053,27,57591,648,149724,4,No
1054,49,43373,766,146200,2,Yes
1055,50,57742,588,282328,4,No
1056,27,31630,826,488319,0,No
1057,26,55982,635,263078,3,No
1058,51,53016,755,80741,1,Yes
1059,45,25282,749,189042,3,No
1060,39,80444,834,397011,5,Yes
1061,52,45289,647,205560,1,No
1062,24,100914,827,81959,5,Yes
1063,41,32492,575,356277,3,No
1064,53,94615,630,79821,4,No
1065,26,49356,585,361969,0,No
1066,36,77923,611,348673,1,No
1067,58,102924,570,374734,0,No
1068,47,111163,848,346341,4,Yes
1069,41,59179,654,401129,5,No
1070,41,56285,685,257505,1,Yes
1071,40,84929,711,444193,0,Yes
1072,21,85068,838,102418,0,Yes
1073,55,52938,809,189041,1,Yes
1074,43,34016,675,243738,2,No
1075,31,82433,828,418857,2,Yes
1076,60,110717,820,54101,5,Yes
1077,56,64240,603,120407,2,No
1078,28,39029,833,131499,2,No
1079,39,104276,657,426235,2,No
1080,34,115111,685,314979,3,Yes
1081,,45000,720,150000,1,Yes
1082,35,,680,120000,2,No
1083,NULL,55000,710,200000,1,Yes
1084,40,NULL,690,180000,0,No
1085,-15,60000,730,220000,2,YES
1086,29,42000,710,130000,1,yes
1087,150,9999999,999,99999999,20,Yes
1088,5,-10000,200,-50000,-1,No
1011,56,63427,735,352698,1,Yes
1026,28,45033,631,465277,5,No
1041,33,118447,709,259186,5,Yes
1090,,19195,,,-1,YES
1091,0,139619,,,-1,Yes
1092,NULL,,,,,YES
1093,,NULL,,550810,,No
1094,,,383,,,No
1095,,,,,,No
1096,,45627,,,6,NO
1097,NULL,,,,,NO
1098,NULL,77228,820,,,Yes
